city,loc,pop,state,zip
HAVERHILL,-71.109519,16860,MA,1832
GEORGETOWN,-70.982239,6384,MA,1833
GROVELAND,-71.027018,5214,MA,1834
BRADFORD,-71.08549,12078,MA,1835
LAWRENCE,-71.16381,2728,MA,1840
LAWRENCE,-71.166997,45555,MA,1841
LAWRENCE,-71.160506,22285,MA,1843
METHUEN,-71.181031,39664,MA,1844
NORTH ANDOVER,-71.109004,22792,MA,1845
LOWELL,-71.305078,15434,MA,1850
LOWELL,-71.332882,28154,MA,1851
LOWELL,-71.298331,33379,MA,1852
LOWELL,-71.335464,26472,MA,1854
MERRIMAC,-71.004658,5196,MA,1860
NORTH BILLERICA,-71.290217,8720,MA,1862
NORTH CHELMSFORD,-71.390834,7878,MA,1863
NORTH READING,-71.094711,12002,MA,1864
READING,-71.109021,22539,MA,1867
TEWKSBURY,-71.223224,27269,MA,1876
TYNGSBORO,-71.415766,8643,MA,1879
WAKEFIELD,-71.068471,24830,MA,1880
GRANITEVILLE,-71.438143,16430,MA,1886
WILMINGTON,-71.172306,17647,MA,1887
WINCHESTER,-71.14407,20232,MA,1890
LYNN,-70.945516,1187,MA,1901
LYNN,-70.941989,41625,MA,1902
EAST LYNN,-70.962798,17073,MA,1904
WEST LYNN,-70.973825,21360,MA,1905
SAUGUS,-71.011093,25487,MA,1906
SWAMPSCOTT,-70.909774,13650,MA,1907
NAHANT,-70.927739,3828,MA,1908
AMESBURY,-70.936681,14970,MA,1913
BEVERLY,-70.875939,38259,MA,1915
BOXFORD,-71.011372,6249,MA,1921
BYFIELD,-70.935053,2006,MA,1922
DANVERS,-70.942461,23977,MA,1923
ESSEX,-70.782794,3260,MA,1929
GLOUCESTER,-70.672149,28716,MA,1930
IPSWICH,-70.849353,11864,MA,1938
LYNNFIELD,-71.033873,11274,MA,1940
MANCHESTER,-70.767434,5286,MA,1944
MARBLEHEAD,-70.865291,19971,MA,1945
MIDDLETON,-71.013004,4921,MA,1949
NEWBURYPORT,-70.884668,16317,MA,1950
NEWBURY,-70.847377,3710,MA,1951
SALISBURY,-70.858822,6879,MA,1952
PEABODY,-70.961194,47685,MA,1960
ROCKPORT,-70.619424,7482,MA,1966
ROWLEY,-70.90696,4368,MA,1969
SALEM,-70.900343,37642,MA,1970
SOUTH HAMILTON,-70.856132,7288,MA,1982
TOPSFIELD,-70.948843,5763,MA,1983
WENHAM,-70.878622,4148,MA,1984
WEST NEWBURY,-70.977811,3421,MA,1985
BELLINGHAM,-71.476829,14873,MA,2019
CANTON,-71.135536,18530,MA,2021
COHASSET,-70.812788,7075,MA,2025
DEDHAM,-71.163741,23782,MA,2026
DOVER,-71.285363,4915,MA,2030
EAST WALPOLE,-71.2179,3844,MA,2032
FOXBORO,-71.244127,14293,MA,2035
FRANKLIN,-71.405786,22128,MA,2038
HINGHAM,-70.891051,19821,MA,2043
HULL,-70.875442,10466,MA,2045
MANSFIELD,-71.217775,16676,MA,2048
MARSHFIELD,-70.69931,21782,MA,2050
MEDFIELD,-71.304813,10531,MA,2052
MEDWAY,-71.421715,9902,MA,2053
MILLIS,-71.360693,7613,MA,2054
NORFOLK,-71.326934,9259,MA,2056
NORWELL,-70.82172,9279,MA,2061
NORWOOD,-71.203313,28700,MA,2062
SCITUATE,-70.752476,16535,MA,2066
SHARON,-71.175872,15873,MA,2067
SOUTH WALPOLE,-71.275235,752,MA,2071
STOUGHTON,-71.107357,26777,MA,2072
WALPOLE,-71.254391,15615,MA,2081
WESTWOOD,-71.210426,12557,MA,2090
WRENTHAM,-71.339568,9006,MA,2093
BOSTON,-71.068432,3697,MA,2108
BOSTON,-71.053386,3926,MA,2109
BOSTON,-71.051417,957,MA,2110
BOSTON,-71.0629,3759,MA,2111
BOSTON,-71.055958,6698,MA,2113
BOSTON,-71.06823,10246,MA,2114
BOSTON,-71.092215,25597,MA,2115
BOSTON,-71.076798,17459,MA,2116
ROXBURY,-71.075627,21914,MA,2118
ROXBURY,-71.086923,25207,MA,2119
ROXBURY,-71.097978,14212,MA,2120
DORCHESTER,-71.08305,25602,MA,2121
DORCHESTER,-71.058304,21266,MA,2122
DORCHESTER,-71.072898,48560,MA,2124
DORCHESTER,-71.061924,31393,MA,2125
MATTAPAN,-71.093871,27808,MA,2126
SOUTH BOSTON,-71.043792,29170,MA,2127
EAST BOSTON,-71.028682,32941,MA,2128
CHARLESTOWN,-71.062715,14775,MA,2129
JAMAICA PLAIN,-71.111495,36571,MA,2130
ROSLINDALE,-71.129543,32677,MA,2131
WEST ROXBURY,-71.158868,26366,MA,2132
ALLSTON,-71.132866,23775,MA,2134
BRIGHTON,-71.156599,35011,MA,2135
HYDE PARK,-71.126052,24260,MA,2136
CAMBRIDGE,-71.125611,33841,MA,2138
